,ID.x,Age,ChildrenNumber,CountryCitizen,EmploymentField,EmploymentStatus,ExpectedEarning,Gender,Income,JobPref,JobRoleInterest,LanguageAtHome,MaritalStatus,SchoolDegree,StudentDebtOwe
56,a3d3031ac9ebf9729b0901489f51f3b1,30.0,,United States of America,,Not working but looking for work,,male,,start your own business,,English,,bachelor's degree,
57,6af0115e67d61aa53daafd6997580654,25.0,,United States of America,software development,Employed for wages,,female,64000.0,freelance ,,English,,bachelor's degree,
58,f2b324b6d29f67caa61d3d9281ca1d2a,24.0,,Macedonia,,Not working but looking for work,,male,,start your own business,,English,,bachelor's degree,
59,c46034dc81a706517d409ffb38bc77ad,36.0,3.0,Cyprus,software development,Employed for wages,35000.0,male,35000.0,work for a medium-sized company,  Quality Assurance Engineer,Greek,married or domestic partnership,"some college credit, no degree",
60,1845c77e6441fcf88cd827ddbf9ec821,30.0,,United States of America,health care,Employed for wages,50000.0,male,24000.0,work for a startup,  Front-End Web Developer,English,,"some college credit, no degree",19000.0
61,fcb8fa5aabb06b58a622044cc6b6ff38,34.0,,United States of America,education,Employed for wages,,female,62500.0,freelance ,,English,,master's degree (non-professional),75000.0
62,fcc823c9210fe7de466c995411e9ca8e,40.0,,Sweden,software development,Employed for wages,,male,27000.0,,,Swedish,married or domestic partnership,some high school,3000.0
63,5efdcf5c11706dc8a8aa8828a16f8cdf,30.0,,United States of America,,A stay-at-home parent or homemaker,,female,,start your own business,,English,,"professional degree (MBA, MD, JD, etc.)",110000.0
64,ceb36bd8da397e300c136e629d20d319,47.0,,Brazil,software development,Self-employed freelancer,,female,30000.0,,,English,,"professional degree (MBA, MD, JD, etc.)",
65,7b9ee0457faa130c0f115c8c4275de7d,24.0,,Portugal,software development,Employed for wages,,female,16500.0,,,Portuguese,,bachelor's degree,
66,cb48a6246c0b5ca23348c2236399da04,25.0,,United States of America,finance,Employed for wages,,female,75000.0,freelance ,,Mandarin Chinese,,bachelor's degree,
67,1b4e8f2b9a7b398dfedf95030806ae57,27.0,,United States of America,transportation,Self-employed business owner,,male,,freelance ,,English,,associate's degree,
68,8547d1d5882e6ef38d3d5978fdb81a1e,27.0,,United States of America,software development,Employed for wages,,female,,,,English,,bachelor's degree,40000.0
69,04d3591d0b8a318f30d9d1ead6ee0ff2,24.0,,United States of America,architecture or physical engineering,Employed for wages,65000.0,male,50000.0,,Back-End Web Developer,English,,bachelor's degree,40000.0
70,c582cccc6ff71c98de700bf3b54ffa58,34.0,,United States of America,education,Employed for wages,35000.0,male,40000.0,work for a startup,Full-Stack Web Developer,English,,"some college credit, no degree",27000.0
71,0332a473bafc6bc358d7a8ac64a39d8a,37.0,1.0,United States of America,education,Employed for wages,70000.0,male,56000.0,work for a multinational corporation,Full-Stack Web Developer,English,married or domestic partnership,"some college credit, no degree",50000.0
72,ab56a59076e6ee3a5311cc5beaacb41c,39.0,1.0,United States of America,transportation,Employed for wages,50000.0,male,35000.0,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,bachelor's degree,24000.0
73,000a59f3aa3c122fba18944446e2b8ae,36.0,1.0,United States of America,office and administrative support,Employed for wages,,male,45000.0,freelance ,,English,married or domestic partnership,associate's degree,80000.0
74,13a493108c692afb1e7b1fee38efee39,30.0,2.0,United States of America,software development,Employed for wages,,male,50000.0,,,English,married or domestic partnership,associate's degree,20000.0
75,d2d8d21e09f2410dfa0ca0e12f3dffd0,25.0,,United States of America,,Employed for wages,80000.0,female,37000.0,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,
76,697dc0c1cdb33dcff1644b4c6417cd29,31.0,,United States of America,software development,Employed for wages,,male,110000.0,,,English,married or domestic partnership,"some college credit, no degree",
77,2d072343f601a92df14de5e63f922909,36.0,1.0,United States of America,"arts, entertainment, sports, or media",Employed for wages,85000.0,male,65000.0,work for a medium-sized company,  DevOps / SysAdmin,English,married or domestic partnership,master's degree (non-professional),
78,55aa0b9d51af0bc2878246c9a11acd70,20.0,,United States of America,software development,Self-employed freelancer,,male,16000.0,,,English,,"some college credit, no degree",
79,f93b92110ae205b4230bcf4e0d9f7a6d,32.0,,United Kingdom,,Not working and not looking for work,45000.0,male,,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,30000.0
80,1bdd582493e1aa4409a674be81c1cac7,27.0,,United Kingdom,finance,Employed for wages,30000.0,male,30000.0,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,
81,f88b5cfaeca941ef1f57329abb27ca35,32.0,,United Kingdom,office and administrative support,Employed for wages,,male,23000.0,freelance ,,English,,bachelor's degree,30000.0
82,79506bcc4eaab1f7f40c6719b6e83d88,32.0,,United States of America,,Employed for wages,100000.0,female,94000.0,work for a medium-sized company,  Front-End Web Developer,Yue (Cantonese) Chinese,,bachelor's degree,
83,dbe4b1faf0e0ec1f2c3711ac4f8ce821,38.0,3.0,United States of America,"arts, entertainment, sports, or media",Employed for wages,,male,85000.0,,,English,married or domestic partnership,bachelor's degree,5000.0
84,d6abc3cffe6a8f8d4ac0d64f3bfabc35,16.0,,United States of America,,,,male,,freelance ,,English,,some high school,
85,559c3cc6b5727ac18b198d9e3094929e,19.0,,Canada,software development,Employed for wages,,male,10000.0,,,English,,high school diploma or equivalent (GED),20000.0
86,38d37ed8a96fe705db0cd9d1112c97fc,22.0,,Nigeria,,Not working but looking for work,,male,,,,English,,some high school,
87,6ca993739cf368a8b764ecb355359da2,19.0,,United Kingdom,software development,Employed for wages,,male,18000.0,,,English,,high school diploma or equivalent (GED),
88,48439bea8554956d8a577b5ad63f9524,24.0,,France,,Not working but looking for work,50000.0,male,,work for a startup,Full-Stack Web Developer,French,,bachelor's degree,
89,79aebaf36d9ccd10d0f1b2a9dff9543c,34.0,3.0,United Kingdom,,A stay-at-home parent or homemaker,50000.0,male,,work for a startup,Back-End Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),
90,ea0319686c422efc9fe9c0364a6fb117,26.0,,United States of America,sales,Employed for wages,45000.0,male,30000.0,work for a startup,  Data Scientist / Data Engineer,English,"single, never married","some college credit, no degree",5000.0
91,915f2ed898947d610e3b41c10bed72fe,38.0,,United States of America,,,60000.0,female,,work for a medium-sized company,Full-Stack Web Developer,English,,"some college credit, no degree",8000.0
92,24b64d38e5025f28bd5c0be8fd6ae9be,28.0,,United States of America,architecture or physical engineering,Employed for wages,,male,60000.0,freelance ,,English,,"some college credit, no degree",
93,1a124244c3f5501bc0a5c96ff2387cc0,32.0,,United States of America,"arts, entertainment, sports, or media",Self-employed business owner,,male,67000.0,freelance ,,Yue (Cantonese) Chinese,,bachelor's degree,
94,fe4b00562e4aaa53b4b6956d0631f021,35.0,,United States of America,education,Employed for wages,55000.0,male,50000.0,work for a startup,Full-Stack Web Developer,English,,master's degree (non-professional),
95,9cc94bb3a1e6a029c54e1baaad346055,16.0,,United States of America,,Doing an unpaid internship,,male,,work for a multinational corporation,Full-Stack Web Developer,English,,some high school,
96,16e7110386a7c024adcb4753cdd042b8,23.0,,United States of America,,Not working but looking for work,80000.0,male,,work for a multinational corporation,Full-Stack Web Developer,English,,"some college credit, no degree",7000.0
97,f78cf5785eba1985f5bdb9de8dfdda69,26.0,,United States of America,software development,Employed for wages,,male,40000.0,,,English,married or domestic partnership,master's degree (non-professional),80000.0
98,65bb23364ae1581e38e35b166d47ef1e,25.0,,"Netherlands (Holland, Europe)",software development,Self-employed freelancer,,male,30000.0,,,Dutch,,bachelor's degree,27000.0
99,ae712b0271669b79479c8051e56956cc,25.0,,United States of America,office and administrative support,Employed for wages,60000.0,male,40000.0,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,bachelor's degree,20000.0
100,3aaae9b5b7a39f4a6b4febedc5152c2f,34.0,,United States of America,education,Employed for wages,60000.0,male,45000.0,work for a medium-sized company,Full-Stack Web Developer,English,,master's degree (non-professional),
101,50eb0912d0efb00dee1b0590a48c8668,31.0,,United States of America,finance,Employed for wages,45000.0,male,34000.0,work for a medium-sized company,  DevOps / SysAdmin,Hindi,,bachelor's degree,
102,8a4040d2531281194752475dc2c53609,46.0,3.0,Sweden,"arts, entertainment, sports, or media",Employed for wages,50000.0,female,45000.0,work for a medium-sized company,  User Experience Designer,Swedish,"single, never married",master's degree (non-professional),30000.0
103,5aaa2d5e9596cccc55ca93a8d7de6127,19.0,,United States of America,software development,Employed for wages,,male,10000.0,,,English,,"some college credit, no degree",
104,b20068a41d1199ada2e55b5fdfd254f2,22.0,,Pakistan,,Not working but looking for work,,male,,freelance ,,Urdu,"single, never married",some high school,
105,e90cb86f2b59212724bce3b2dad53276,,,,,,,,,,,,,,
106,7c196c58dbee549119218158b2b28d8d,30.0,,United States of America,software development,Employed for wages,,male,37000.0,,,English,married or domestic partnership,high school diploma or equivalent (GED),
107,bc28535824b91a4a5b7cceb99bfe8d4f,25.0,,United States of America,,Military,80000.0,male,,work for a startup,Full-Stack Web Developer,English,,"some college credit, no degree",
108,f782065928d3abbecdce9ab3a9b963a5,15.0,,United States of America,,Not working but looking for work,,female,,work for a medium-sized company,  Mobile Developer,English,,some high school,
109,ef28bd84f6258c4da82e48666bb19256,36.0,2.0,Ecuador,software development,Self-employed freelancer,,male,20000.0,,,Spanish,married or domestic partnership,bachelor's degree,
110,f7140cb6e76dd81a02a564f212c8092e,26.0,,United States of America,health care,Employed for wages,,female,19000.0,freelance ,,Spanish,,bachelor's degree,11400.0
111,aab3b7fab354efae1732984885b2fd96,43.0,1.0,Australia,,,,male,,,,Yue (Cantonese) Chinese,married or domestic partnership,Ph.D.,
112,c232766de928ea9c51496b9d9b970cba,24.0,,Nepal,,Not working but looking for work,50000.0,male,,work for a medium-sized company,Full-Stack Web Developer,Nepali,,bachelor's degree,
113,b966614dfd6db1e48279548396c1a511,27.0,2.0,United States of America,food and beverage,Self-employed business owner,80000.0,male,50000.0,work for a medium-sized company,Back-End Web Developer,English,married or domestic partnership,bachelor's degree,
114,0962ae81aa18a44fe2d894e5218488f9,31.0,,France,office and administrative support,Employed for wages,65000.0,female,35000.0,work for a startup,Full-Stack Web Developer,French,,master's degree (non-professional),
115,515731d91f268aa14974aa4ca3ae9270,28.0,,Canada,transportation,Employed for wages,,male,70000.0,freelance ,,English,,associate's degree,
116,9102b4ecba524043f600aa935b03b4d0,32.0,,United States of America,software development,Employed for wages,,male,20000.0,,,English,,bachelor's degree,40000.0
117,6dea701828bd3f18513d4da19dc17729,23.0,,France,,,35000.0,male,,work for a medium-sized company,Back-End Web Developer,French,,master's degree (non-professional),30000.0
118,f8ca2363d4865ae2c0be425590419fac,16.0,,"Netherlands (Holland, Europe)",food and beverage,Employed for wages,,male,,freelance ,,Dutch,,no high school (secondary school),
119,bae8750a6d21d0952b94240fc623c9bb,29.0,,United States of America,education,Employed for wages,50000.0,female,35000.0,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,20000.0
120,a77269d8b230226c7a50191004900eac,43.0,,Greece,,Self-employed freelancer,,male,,freelance ,,Greek,,bachelor's degree,
121,e2a8aaf43d7bd5efdd4833ff7df786b9,25.0,,Canada,software development,Employed for wages,,male,30000.0,,,English,,bachelor's degree,15000.0
122,985f596883c4996c76382c7abd956dbb,35.0,,United States of America,software development,Self-employed business owner,,male,135000.0,,,English,,master's degree (non-professional),
123,43f3cf7ea0fba59cbf9d510feb720bce,33.0,,United States of America,,Not working but looking for work,70000.0,female,,work for a medium-sized company,  Front-End Web Developer,English,,bachelor's degree,
124,6e3377245d5e895e3efe2dae9a79f8a9,18.0,,Philippines,,,75000.0,female,,work for a multinational corporation,  Front-End Web Developer,English,,high school diploma or equivalent (GED),
125,5b8853338977659723f99ae2cd162a8d,21.0,,United States of America,,Doing an unpaid internship,50000.0,male,,work for a multinational corporation,Full-Stack Web Developer,English,,associate's degree,
126,b24666e9f420eb1b87d51792cf43e8ce,24.0,,Australia,software development,Employed for wages,,male,35000.0,,,Pashto,,bachelor's degree,30000.0
127,323d4158e958015b3c8adc46c6c40f0d,20.0,,India,,Not working and not looking for work,55000.0,male,,work for a startup,  Front-End Web Developer,Marathi,,"some college credit, no degree",
128,adf3108cec728098b52da592633d9624,25.0,,Jamaica,office and administrative support,Employed for wages,38000.0,female,26000.0,work for a medium-sized company,Back-End Web Developer,English,,master's degree (non-professional),50000.0
129,ce1da26d222c2648c126199b5f7a0471,24.0,,United States of America,,Not working but looking for work,70000.0,female,,work for a multinational corporation,Full-Stack Web Developer,English,,bachelor's degree,
130,f87ba3223c5b429f47f754a11a6dfa62,41.0,3.0,Barbados,software development,Employed for wages,,male,75000.0,,,English,married or domestic partnership,"some college credit, no degree",8000.0
131,2f7190b89e037220be1000a309fa39c9,27.0,,United States of America,software development,Employed for wages,40000.0,male,16000.0,work for a startup,Full-Stack Web Developer,English,,bachelor's degree,70000.0
132,abb54502eb65aa6f80cfe88dff4327ba,24.0,,Belgium,,Not working but looking for work,60000.0,male,,work for a medium-sized company,  Data Scientist / Data Engineer,Dutch,,master's degree (non-professional),
133,6f582e1f3cbe854c2c1857829a60380b,22.0,,United States of America,,Not working but looking for work,70000.0,male,,work for a medium-sized company,  Front-End Web Developer,Portuguese,,bachelor's degree,
134,356dd9b0d654cd86490ad140a9e84172,32.0,,United States of America,software development,Employed for wages,,male,45000.0,,,English,married or domestic partnership,associate's degree,
135,543413b927445f68e2fb02e4e235f2c0,28.0,,Canada,software development,Self-employed business owner,,male,,start your own business,,English,,bachelor's degree,
136,79180d0eb788567beae74b0954c31c06,40.0,2.0,Ireland,education,Employed for wages,,male,24000.0,start your own business,,English,separated,bachelor's degree,
137,023b18985c06a6194a690155971362df,31.0,,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,50000.0,male,7000.0,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,34000.0
138,a9b52237fb3d7201fa87f851394181dd,22.0,,United States of America,,Doing an unpaid internship,75000.0,male,,work for a startup,  Data Scientist / Data Engineer,English,,associate's degree,
139,b08ec032275f0582ca67f2d43eecfcba,32.0,4.0,United States of America,,Employed for wages,,male,53000.0,,,English,married or domestic partnership,associate's degree,48000.0
140,cf6ae3e61e1d99d98eee00407c7244f7,36.0,,United States of America,,Not working but looking for work,60000.0,female,,work for a medium-sized company,Back-End Web Developer,English,,master's degree (non-professional),150000.0
141,a18af89a32ba7b4af25a9d4c576828aa,27.0,2.0,United States of America,,Not working and not looking for work,50000.0,male,,work for a medium-sized company,  Front-End Web Developer,English,married or domestic partnership,"some college credit, no degree",23000.0
142,6bb62f0136c9486bfdd79e35b6d4de57,27.0,,United Kingdom,,Employed for wages,50000.0,male,,work for a startup,  Data Scientist / Data Engineer,English,,bachelor's degree,
143,168fef0effa9b039fac6e189e1012300,26.0,,Croatia,office and administrative support,Employed for wages,16000.0,male,6000.0,work for a medium-sized company,Full-Stack Web Developer,Serbo-Croatian,,bachelor's degree,
144,b8a498b072d4122f3e516dfab41eb504,30.0,,United States of America,,Not working but looking for work,72000.0,male,,work for a medium-sized company,Full-Stack Web Developer,English,,bachelor's degree,
145,8d8a7cdda48948b0dd168898efd50162,26.0,,Bolivia,,Not working but looking for work,85000.0,male,,work for a startup,Full-Stack Web Developer,Spanish,,bachelor's degree,
146,ec1a1572ef436f83371376300211e392,14.0,,United States of America,,,,male,,work for a medium-sized company,Full-Stack Web Developer,English,,no high school (secondary school),
147,41f255175a94a88b73ee91fb1b2f9efc,34.0,1.0,United States of America,education,Employed for wages,,male,45000.0,freelance ,,English,married or domestic partnership,"some college credit, no degree",18000.0
148,ee9345425092dc9c819f88ddbbf00051,37.0,1.0,Ireland,transportation,Employed for wages,,male,34000.0,freelance ,,English,married or domestic partnership,"some college credit, no degree",
149,1a4d9fb5a5df63ea0a9bc55525ddaab1,34.0,,United States of America,education,Employed for wages,50000.0,female,76000.0,work for a medium-sized company,Full-Stack Web Developer,English,,Ph.D.,
150,d9f4e7b260e105e7955bf12d2da7c71d,24.0,,Senegal,,Not working but looking for work,30000.0,male,,work for a medium-sized company,  Product Manager,French,,associate's degree,
151,e06c474d0cfbd077fa3dc9ab1a30c560,34.0,,United States of America,,Not working but looking for work,,female,,freelance ,,English,,master's degree (non-professional),
152,7de121b27491b07a8a3906dd6104fde6,29.0,,United States of America,,Employed for wages,70000.0,male,35000.0,work for a medium-sized company,Full-Stack Web Developer,English,,high school diploma or equivalent (GED),
153,43d0fbe9f86b58841887c08f93d0a084,50.0,,United States of America,,Self-employed business owner,40000.0,male,40000.0,work for a medium-sized company,Back-End Web Developer,English,,bachelor's degree,
154,4ce1000624e1bfbb91ef068be310543b,19.0,,United Kingdom,,,30000.0,male,,work for a medium-sized company,Full-Stack Web Developer,English,,"some college credit, no degree",
155,9e948b75e51e3498c20f268dd1c9e007,32.0,,United States of America,education,Employed for wages,,male,46000.0,start your own business,,English,,master's degree (non-professional),
156,20d54c4b6c4458ccf7944a245da2c69c,22.0,,Ireland,,,35000.0,male,,work for a multinational corporation,  Data Scientist / Data Engineer,English,,bachelor's degree,
157,73b322b87d6b4f40616fcad76efe8d53,26.0,,United States of America,,A stay-at-home parent or homemaker,,female,,freelance ,,English,,high school diploma or equivalent (GED),
158,a43b01b82363742c51108b36a6a02689,30.0,,United States of America,education,Self-employed freelancer,50000.0,male,40000.0,work for a multinational corporation,  Front-End Web Developer,English,,master's degree (non-professional),74000.0
159,ed88f2b577958160de20142de76311ed,26.0,,United States of America,,Not working and not looking for work,60000.0,female,,work for a startup,Full-Stack Web Developer,English,,"some college credit, no degree",
160,229c191d8ffb46574cf1f7ab3e972487,27.0,,Romania,,Unable to work,,male,,,,Russian,,bachelor's degree,
161,e38fdfea49450bfa1167e0d303e35ae1,37.0,1.0,Canada,office and administrative support,Employed for wages,35000.0,female,15000.0,work for a startup,  Front-End Web Developer,French,married or domestic partnership,master's degree (non-professional),5000.0
162,2013276af90de3a4a60f27ca4d3a5299,30.0,,United States of America,software development,Employed for wages,,male,10000.0,,,English,married or domestic partnership,master's degree (non-professional),160000.0
163,cf95715468ca2961cce2a7e2059b487d,40.0,,Canada,,Employed for wages,,female,75000.0,work for a medium-sized company,  Front-End Web Developer,English,married or domestic partnership,master's degree (non-professional),
164,2a45a21781c933d2c5289512dc740e30,22.0,,New Zealand,software development,Employed for wages,,male,46000.0,,,English,,bachelor's degree,22612.0
